Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type
3256,19,9,685,108,5848,214,222,144,2627,2
2806,290,13,42,7,2372,181,237,196,1543,1
3292,63,11,150,-12,3042,230,218,121,1950,7
2952,52,23,376,132,564,225,184,82,722,2
3134,276,10,85,7,1294,194,242,187,1355,1
2970,326,14,30,5,4331,186,224,178,283,1
3144,220,18,510,60,3271,196,254,190,1846,1
2982,162,14,150,14,1558,233,243,138,3489,1
2918,127,12,467,27,1598,240,232,121,1115,2
3011,208,6,306,39,5326,216,245,165,4045,1
3139,322,17,402,23,3366,175,221,185,4526,1
2946,42,14,277,16,618,222,208,118,2148,2
2747,356,3,120,2,1842,214,234,157,994,2
2891,354,24,150,48,1615,173,191,150,2589,2
3264,63,11,395,59,2958,230,218,121,3947,1
2824,70,19,134,22,3555,237,198,85,1879,2
2761,38,14,67,12,3006,219,208,121,2304,2
3018,198,2,366,14,5417,218,241,159,4156,1
3155,184,21,242,42,2631,219,249,153,3284,1
3163,5,10,95,15,1405,208,221,150,721,1
2552,6,9,384,28,1061,209,222,151,1113,3
3320,193,9,510,25,1033,220,247,162,1176,1
2956,321,10,30,7,1224,195,231,175,379,2
2862,128,11,201,50,2505,238,233,124,1974,2
3140,175,8,551,66,335,225,245,153,1836,2
2797,26,19,30,1,2498,208,197,119,1691,2
2703,47,8,319,1,666,223,223,134,1813,1
2508,122,16,150,16,1677,245,226,105,713,3
2521,126,15,42,7,1426,244,228,109,1325,3
2746,90,9,430,38,1558,233,227,125,1687,2
3221,86,10,175,42,1366,234,224,120,2555,2
3315,177,9,510,127,1273,225,245,153,2603,2
2872,79,6,514,23,2734,228,229,135,2792,2
3218,1,12,120,23,859,203,218,152,1155,2
3180,103,11,60,-1,2671,239,225,115,2869,1
3360,347,9,696,89,1195,204,226,161,1638,7
3245,342,3,480,-28,778,213,235,159,3019,2
2396,306,13,134,37,1261,182,232,189,270,6
2955,268,8,474,35,5313,200,243,182,1998,2
2910,14,10,170,23,1959,210,218,144,990,2
3223,50,8,150,12,1243,224,223,133,2711,2
3158,189,6,242,-2,1100,221,245,159,1358,2
3087,192,15,90,-31,2167,218,251,163,3577,1
2887,46,16,309,84,2307,223,204,110,1452,2
2956,357,15,400,61,926,196,212,153,1760,2
3047,38,16,540,22,3693,218,203,115,4751,1
3037,253,16,240,0,3180,182,249,204,1681,1
2641,67,6,162,24,1146,227,228,135,1484,2
2862,323,12,150,24,1657,190,228,177,1354,5
3190,139,16,258,49,2400,242,233,115,1471,1
3215,39,3,85,4,5181,220,232,149,360,1
3181,57,10,95,-3,1537,227,220,126,484,2
2965,134,26,60,-16,2644,250,217,78,1528,1
3062,314,13,42,7,1620,185,230,185,3217,2
3226,172,2,488,82,732,220,239,156,497,1
3165,39,9,67,13,5165,221,219,133,1082,1
2841,25,4,295,30,1549,218,231,150,3020,2
3093,42,17,503,23,4070,220,201,111,3239,2
3018,50,8,0,0,1237,224,222,132,2574,1
3160,123,8,379,27,5506,234,234,131,1738,1
3092,56,7,216,25,1584,225,226,135,2132,2
2890,21,6,150,11,1624,216,227,148,2184,2
2413,231,19,60,9,845,187,254,199,1235,3
2539,85,11,30,1,1423,236,221,114,685,6
2650,340,5,418,97,666,210,233,162,1146,3
3234,262,13,767,83,3350,187,246,198,1034,1
2793,2,5,30,-3,2227,212,229,155,2197,1
2965,131,16,324,76,1620,244,230,111,1850,2
3057,97,9,458,-6,1310,236,227,122,1387,2
2983,28,9,277,48,3818,217,220,139,1430,2
2885,59,21,234,72,3124,230,192,85,2063,2
2897,21,4,300,17,3679,217,231,151,3878,2
2967,53,9,295,93,2470,226,220,128,2148,1
2689,13,9,404,62,1304,212,222,148,1448,2
3001,248,9,607,92,5972,200,247,185,3362,2
3260,332,23,319,61,2084,159,204,180,3154,1
3110,102,24,216,61,3204,252,201,63,2673,1
2876,283,11,242,28,2408,191,241,190,2388,2
2667,19,17,390,72,1262,206,203,130,1790,2
2982,103,9,150,19,175,236,228,122,1213,1
2910,125,19,120,25,3396,248,224,97,2837,2
3224,213,5,218,15,5626,216,244,165,1140,1
2938,68,10,566,10,949,231,220,121,2181,2
2978,232,19,335,62,5334,186,254,201,1745,2
3360,6,10,339,60,2282,208,222,150,1698,1
3052,133,9,150,4,3763,234,236,133,300,1
3112,103,14,30,9,1316,242,222,106,2349,1
2857,156,15,90,20,4749,236,241,131,4565,2
2792,86,8,360,10,1855,232,227,129,977,2
3196,158,10,150,12,3373,231,242,141,390,2
3085,185,15,553,-41,2561,221,249,157,1489,2
2547,125,4,120,21,532,226,237,145,1077,3
2794,323,18,124,45,3773,171,218,186,1082,2
3049,248,11,120,31,1708,196,248,190,1416,1
3189,45,11,90,30,2347,223,217,127,2676,1
2909,261,13,331,25,1425,188,247,197,1395,2
3116,53,16,342,62,3576,227,205,107,3061,1
2856,359,10,30,5,2713,205,221,154,2493,2
3334,190,4,127,12,3774,220,243,159,1915,7
3222,67,13,212,17,1611,233,213,110,589,7
3277,7,14,277,72,2808,202,212,145,2462,1
2765,118,17,42,12,2063,247,223,99,768,2
2632,3,16,180,30,2296,197,208,146,1426,2
2900,46,19,153,45,1387,222,195,100,765,2
2772,49,9,30,-1,2249,224,220,130,1207,2
3045,136,25,212,63,858,249,221,84,2856,1
2600,17,18,180,19,1298,202,199,129,2658,2
3096,272,17,323,20,3636,172,243,209,1509,1
2898,207,7,120,12,1910,216,246,167,1598,5
2967,90,16,268,47,1860,243,213,96,1871,2
3005,304,3,0,0,4579,210,238,166,551,2
2395,70,17,150,69,888,236,204,93,1341,6
3290,297,10,150,22,5527,192,237,184,433,1
2867,105,14,90,12,3235,243,222,105,4165,2
3039,321,13,120,16,3227,186,227,180,323,1
2989,60,7,277,16,2789,225,226,135,60,1
2622,200,23,42,17,2051,204,253,172,1490,2
3042,301,11,295,43,2704,190,236,186,1865,2
2991,41,10,0,0,1150,221,218,131,1401,1
3023,309,6,339,15,2874,203,236,173,295,1
3248,224,14,212,26,3863,201,253,186,2605,7
2953,16,4,60,11,5401,216,231,152,2254,1
2654,106,15,175,3,1826,245,220,99,497,2
2962,49,17,362,92,5833,225,200,103,4351,2
3073,288,2,300,75,5738,213,239,164,4455,2
3200,332,18,234,39,474,176,215,177,1082,2
3242,36,6,540,78,1800,220,226,142,2549,1
3316,60,15,30,-3,3555,231,207,105,2900,7
3121,346,13,362,75,5001,195,219,162,742,2
3194,336,9,335,30,1425,199,227,167,2122,1
2722,108,15,418,19,1524,245,221,101,984,3
2705,183,15,182,66,1991,223,249,154,1489,2
3087,100,10,0,0,2223,237,227,120,3369,1
2652,149,14,42,3,1761,237,239,128,335,3
3239,185,6,558,5,458,221,244,158,661,1
2383,333,9,30,2,939,200,229,168,927,6
3010,146,3,323,31,1187,224,239,150,1666,2
2840,108,11,0,0,3971,239,227,118,2911,1
3020,110,10,108,21,5063,238,229,120,3245,2
2586,54,15,150,39,1598,228,207,109,1353,2
3240,355,5,765,49,1987,211,230,157,541,1
3295,285,7,0,0,1907,200,240,180,1622,1
3093,90,7,108,7,4137,231,229,132,2901,2
2662,73,20,60,20,1706,239,197,81,1235,2
3213,320,14,30,6,4283,182,225,183,1350,1
2559,336,14,30,7,1052,187,220,171,537,2
3194,46,14,594,84,1850,224,208,115,3010,1
3104,348,21,190,33,3845,176,200,159,495,1
2908,293,5,277,82,994,205,239,173,1667,2
2827,66,17,108,29,124,234,205,97,666,1
3206,148,15,247,15,5509,238,238,125,3049,2
2957,285,11,300,-4,5673,190,240,190,1998,1
2766,5,17,42,4,2912,196,205,144,395,2
2801,23,6,331,4,1533,216,227,147,2220,2
2526,113,18,30,-3,1655,248,218,91,1104,2
3165,117,17,485,124,895,246,222,99,1456,2
3034,352,17,85,15,2287,189,209,157,1756,2
3166,135,6,42,-3,1653,229,237,142,582,1
2386,105,19,42,5,573,249,213,85,573,6
3281,259,1,335,38,4964,216,239,161,759,2
3026,143,9,95,4,1052,234,238,135,864,2
2959,163,13,300,-2,6073,232,243,139,3254,2
2965,61,16,582,84,1703,231,206,103,2947,2
3098,275,14,212,27,1252,181,243,201,2613,1
3211,24,21,162,24,5552,204,191,116,1371,2
3020,284,6,127,1,5518,204,240,176,2103,2
2565,197,11,67,15,301,217,250,166,1405,2
2982,330,13,283,57,1358,188,224,175,3132,1
2939,230,4,454,13,1909,214,243,166,1209,2
3111,10,7,85,4,3791,213,227,151,1530,1
2888,72,9,150,-4,3287,231,222,123,3981,2
2802,27,2,95,4,666,218,234,153,571,2
2445,79,10,67,15,908,233,223,121,1315,3
3114,193,9,30,-4,1626,220,247,162,2226,1
2570,45,3,300,-5,2619,220,232,148,2676,2
2880,254,10,330,82,1995,198,247,187,864,2
3104,189,9,466,-13,2337,221,247,160,1639,2
3385,103,20,216,56,999,249,211,81,3987,2
2932,68,11,60,6,5159,232,218,118,3014,1
3009,249,14,285,83,5381,190,249,197,1507,2
2955,358,11,30,5,4129,203,220,155,1055,1
2927,292,8,242,63,1020,199,239,180,973,2
2994,324,14,255,81,4436,183,224,180,2160,2
2355,253,17,365,61,1172,180,249,206,726,4
3116,320,19,247,75,2060,169,219,189,1892,2
3445,0,8,481,106,1682,209,226,155,1284,7
2965,40,7,30,0,1146,221,224,138,2188,1
2460,43,10,134,52,255,222,217,129,379,3
3176,3,25,272,33,660,177,182,135,1771,2
2671,40,11,485,18,725,221,215,127,1290,2
2945,45,3,30,2,1857,220,233,150,2461,2
2455,307,10,0,0,849,193,234,181,649,6
3061,258,14,335,56,5749,186,248,200,1879,2
2782,152,20,537,148,2697,240,236,116,1994,5
3187,281,11,295,41,5842,190,241,191,2437,2
3147,11,15,150,26,3971,203,209,141,2040,1
2864,64,9,319,64,2588,229,221,125,3013,2
2630,225,1,242,26,1738,217,239,159,780,3
2394,247,6,134,6,0,207,245,176,67,6
3280,288,3,604,82,1172,211,239,166,1710,1
3036,138,12,153,21,1664,238,236,127,1082,1
2761,40,7,153,11,2277,221,224,138,3737,2
2790,72,14,67,6,1761,236,211,103,2458,1
3003,106,17,216,67,3798,247,216,92,2684,2
2935,45,17,67,15,4195,222,200,106,443,2
2802,106,20,95,6,2885,250,211,80,2190,5
3129,135,12,376,53,182,239,235,124,1710,2
2643,336,21,180,67,721,168,205,174,2147,2
2741,49,10,180,-6,1570,224,218,126,1693,1
3372,200,7,67,-3,2888,218,246,164,514,7
2995,215,8,595,86,5761,213,248,171,3045,2
2796,175,10,268,129,1343,226,246,151,765,2
2930,68,19,60,-9,466,236,198,86,2368,2
2950,100,11,30,10,1431,238,226,118,366,1
2985,20,7,190,13,4328,215,225,147,3967,1
2889,85,20,350,62,1031,244,203,80,366,2
2624,115,19,30,8,1290,249,218,88,573,5
2555,170,24,30,-12,1600,230,242,130,1423,2
2945,294,9,180,24,1832,196,238,182,659,2
3018,344,15,426,10,3864,189,216,164,2497,2
2817,99,15,30,-8,4049,243,219,101,785,1
2830,83,22,30,10,932,244,195,69,342,2
3022,156,17,127,26,2163,237,240,128,1321,2
3218,45,5,361,-2,5641,222,228,142,1951,1
2982,265,15,212,4,3006,181,246,203,1998,2
3104,327,24,534,39,3529,155,205,186,1598,2
3284,156,17,350,43,1441,237,240,127,2859,1
3028,52,13,467,14,3021,227,212,117,277,1
3021,7,6,255,6,3180,213,228,153,1772,2
3359,8,7,0,0,5073,212,227,152,3631,7
3132,64,7,570,-42,4062,227,226,133,4309,1
3054,287,16,234,51,2481,175,237,202,1710,2
3219,24,8,285,16,1747,216,224,144,1345,1
2367,197,30,30,17,382,196,248,167,1048,3
3127,145,20,127,25,3872,243,233,110,3012,1
3045,41,14,457,30,1950,221,209,121,1572,2
3262,81,14,573,83,4198,238,214,103,2696,1
2713,27,7,30,0,1159,218,225,144,1897,1
2493,54,14,30,4,240,228,209,111,1371,6
2882,341,13,120,25,1052,192,220,166,531,2
3397,47,11,216,48,2931,224,217,126,1476,7
3232,53,7,124,17,4646,224,225,135,319,1
3102,154,11,218,-11,738,234,241,137,1538,1
3168,100,8,277,36,6472,234,229,127,1913,2
2699,99,25,283,11,1410,251,197,59,618,2
2813,69,9,85,8,1045,230,222,125,2620,2
3224,9,11,201,19,1510,208,219,147,1020,1
2983,56,15,95,7,4339,229,206,106,966,2
2582,356,24,360,114,618,174,190,148,450,2
2839,259,17,313,48,2278,178,247,206,1756,2
2955,288,21,242,69,2883,156,233,215,2242,2
3071,215,6,313,1,2552,214,246,168,2041,1
3004,100,5,201,-4,4128,229,233,138,957,2
3300,103,17,242,30,3521,246,216,93,1323,1
3160,359,14,797,143,1753,199,214,152,2368,1
3230,20,6,150,9,5924,216,227,148,1062,1
3364,328,9,598,25,1358,198,230,171,1206,7
2857,158,8,361,57,3566,229,242,146,3227,2
3267,302,13,503,146,4014,182,233,191,1736,1
2939,165,13,342,53,1890,231,244,142,1855,2
2888,33,11,335,72,3439,218,216,133,3060,2
3235,143,7,0,0,2616,231,239,140,1194,1
3202,211,11,150,-2,3078,212,250,173,1168,1
3037,34,13,258,10,6504,218,212,128,2947,2
2436,147,13,351,95,872,238,238,128,1224,3
2886,170,11,60,1,2333,228,245,148,2647,2
2691,267,13,30,8,1506,185,245,199,972,5
3001,45,3,270,-20,1266,220,233,150,745,2
2742,354,9,0,0,2853,205,224,157,4860,2
2772,333,5,0,0,1950,208,233,164,1396,2
2653,180,10,60,1,400,224,246,155,573,2
2833,25,19,180,31,1430,207,196,119,2617,2
2944,236,21,150,52,2210,178,253,207,1392,2
2672,25,21,90,22,1040,205,189,114,1994,2
3086,78,14,285,-6,6836,237,214,105,2638,2
2876,230,24,711,135,3882,174,253,207,1452,2
3289,14,12,210,45,3181,209,216,143,2271,1
3134,138,11,180,-5,684,237,236,129,2167,1
2621,11,10,277,19,1761,209,220,147,874,6
2910,77,23,201,104,212,242,191,67,1114,1
2681,359,14,30,5,2402,198,213,152,2363,2
3354,327,14,60,21,2275,185,223,177,1515,1
2666,13,14,85,11,3462,206,211,141,3034,1
2985,73,6,60,-4,2812,228,228,134,1746,1
2709,35,24,42,18,1231,210,181,96,2547,2
2875,65,11,323,27,2790,230,218,119,2687,2
3022,42,15,180,55,313,221,207,117,443,2
3281,193,28,255,72,882,204,248,160,997,1
3206,45,2,400,34,1431,220,234,151,2180,1
3096,76,20,108,46,5034,240,199,82,1708,1
2909,358,24,391,-7,700,176,188,144,240,1
3450,96,12,30,7,3239,239,223,113,2519,7
2877,231,10,330,79,2024,204,249,182,836,2
3037,172,2,180,41,1142,220,239,156,1894,1
2691,119,10,175,11,551,237,232,125,1560,1
2947,84,4,30,-1,4089,226,232,141,2363,2
2810,52,14,210,39,2294,226,209,113,3465,2
2927,58,13,120,6,2154,229,211,113,2106,1
3347,115,13,190,29,1598,243,226,110,3282,1
2918,96,4,30,5,3555,227,233,141,4323,2
3120,293,17,295,49,1167,171,234,202,2696,1
2732,110,18,30,-7,1788,248,218,92,1501,2
2792,73,6,150,12,764,228,228,134,2716,2
3155,16,18,242,15,1790,201,199,130,1852,1
3115,71,19,190,32,870,238,199,85,1075,1
2790,72,11,351,66,2960,233,218,116,2506,2
3224,343,8,706,21,1639,204,228,163,1099,1
3122,332,24,361,72,3922,158,203,180,700,1
2680,31,12,127,27,2084,216,213,130,1924,6
3067,193,13,30,-2,5995,218,250,163,2396,1
3173,58,3,60,-2,5166,222,233,147,2795,1
2972,38,16,408,78,4424,218,203,115,1978,2
3410,148,14,661,81,1256,238,238,128,3997,1
3042,315,5,420,65,1140,206,236,168,1772,2
2998,263,6,342,54,127,206,243,175,1289,2
3086,3,20,518,29,2024,188,197,142,1415,2
3212,281,17,42,8,4355,170,239,208,2371,1
3189,256,4,242,27,5801,210,242,170,2117,2
2929,225,17,175,41,5159,195,254,192,1100,2
3060,328,9,309,38,2155,199,230,170,1348,1
2744,339,8,0,0,658,203,228,164,2184,1
3205,135,1,42,-2,3978,220,238,154,3427,1
2728,162,2,120,12,2400,220,239,155,4414,2
2432,8,21,335,89,716,190,192,134,664,6
2950,176,12,85,3,2175,226,246,150,3092,2
2962,120,13,150,16,5283,242,229,114,2055,1
3219,61,2,60,3,3126,221,234,149,1681,1
3233,178,9,595,0,541,224,246,154,541,1
3223,79,15,295,25,5379,239,211,98,1260,1
3186,59,11,201,7,1940,228,218,121,693,1
3081,69,8,510,48,228,229,224,128,1403,2
3152,278,5,391,39,3816,206,241,173,3354,1
3167,88,7,470,31,4534,231,229,131,2083,2
2693,105,5,90,17,999,228,234,140,1940,2
2621,21,14,255,105,1406,209,208,133,1733,3
3247,65,9,361,26,3780,229,222,126,3202,1
3188,153,14,0,0,1114,236,240,131,2561,1
3088,36,20,509,61,5048,214,193,107,1572,1
2974,87,15,361,60,3608,241,213,98,1613,2
2949,94,3,60,-6,2220,224,234,145,1595,1
2669,346,13,234,52,1449,195,219,162,1383,2
3368,35,15,90,19,2978,217,206,121,1639,7
2837,112,15,480,76,3199,245,223,103,2678,2
2930,247,2,175,23,5050,215,240,162,1731,5
3431,92,17,0,0,1748,245,211,89,1826,7
3299,139,4,120,-11,4536,227,238,146,3890,1
2990,159,15,153,21,4926,235,242,133,684,2
3235,89,11,268,39,1342,237,222,115,1801,1
2553,331,10,67,6,1605,197,228,170,1663,5
3238,0,5,30,3,5742,212,230,156,924,1
2982,139,16,124,21,3783,243,233,114,2665,2
2815,55,16,134,46,2526,228,205,106,2902,2
3144,150,8,618,107,1889,231,240,141,828,2
2703,154,19,30,5,1369,239,238,122,1698,2
2967,45,4,534,14,875,221,231,146,2007,2
2328,130,30,127,66,1361,252,206,58,553,3
3196,25,13,524,120,1325,213,210,132,1830,2
2651,182,21,124,43,1981,221,248,150,1273,2
3032,50,8,309,12,1511,224,222,132,904,2
3154,146,14,95,21,977,238,237,126,2135,1
3034,345,9,300,57,1061,202,225,162,1706,2
3162,194,19,124,17,1140,214,252,165,4672,2
2818,88,15,175,44,1847,241,214,99,1854,5
2652,103,19,190,2,1253,248,212,84,454,2
2844,323,9,216,41,2185,196,230,174,2040,2
2518,21,16,150,27,1470,208,205,130,964,6
3213,158,13,153,29,1008,234,242,136,2682,2
2911,327,19,300,79,306,170,215,183,1245,2
2947,43,22,658,123,1515,217,185,92,2790,2
3191,265,6,342,15,4824,205,243,176,2377,2
3172,30,9,120,23,4546,218,220,137,3159,1
3036,99,9,319,81,2391,235,228,125,785,2
2492,133,18,67,24,949,246,228,104,780,3
2950,4,3,30,2,2044,215,233,155,1500,1
2591,53,7,192,27,1353,224,224,134,4867,2
3115,11,11,285,97,4882,208,217,145,2182,1
3050,67,14,255,-12,3121,233,211,107,1448,2
3265,159,23,212,81,1820,237,237,118,339,7
2604,17,9,295,52,1266,213,221,145,1387,2
2918,220,26,360,-18,3426,180,253,199,1365,2
3050,40,8,382,2,2624,221,222,135,2711,2
2724,338,13,240,86,2638,190,220,169,1290,2
2660,59,16,30,5,1455,230,204,101,1854,2
3063,72,6,67,2,3212,227,228,136,1256,2
3197,99,10,0,0,400,237,226,119,2010,1
3046,314,15,417,-74,1932,180,228,187,2213,2
3114,75,3,470,33,1831,223,234,147,2822,1
3112,36,13,543,37,1256,219,211,125,2736,2
2836,353,6,85,9,752,210,230,158,450,1
2810,29,6,180,44,2162,218,226,144,658,2
3186,23,12,560,61,2047,212,214,136,2522,1
2944,106,8,212,45,3279,233,231,130,1849,2
2855,32,11,0,0,2835,218,217,134,2250,1
2909,75,25,175,-57,408,241,186,61,283,1
3216,121,6,0,0,4737,230,235,139,1855,1
3154,135,13,150,20,782,240,234,120,2278,1
2881,349,9,60,4,2908,204,225,160,2281,1
3090,81,25,301,115,1956,244,187,57,3806,1
2642,338,13,212,55,2179,190,220,169,1660,2
3058,357,4,240,17,3360,213,232,157,1510,2
2533,117,1,270,-9,350,220,237,153,1254,2
2943,157,17,42,11,1338,237,240,127,3260,1
2337,229,23,90,35,1124,180,254,204,150,3
3262,323,12,752,48,2003,189,227,178,618,1
2688,298,13,201,34,959,184,235,191,1570,2
3269,172,9,390,53,4273,226,245,151,2242,1
3004,112,8,636,9,4345,234,232,130,3164,2
3215,227,9,362,52,2779,208,248,177,875,1
3129,90,11,134,20,2742,237,223,116,3518,1
2709,175,25,134,43,1962,225,243,136,2322,3
3362,6,17,201,-36,3473,197,205,142,1774,1
2950,142,6,120,-2,2138,229,239,143,1782,2
3292,191,18,30,-1,2100,217,251,162,3750,1
3199,344,3,30,3,5984,213,234,159,1374,2
3000,2,14,190,55,2506,200,213,149,1812,1
3198,112,16,95,8,1816,246,220,97,1528,1
3158,15,11,470,41,1917,211,218,143,2640,1
2860,136,25,162,49,4317,249,221,85,534,2
3027,45,1,120,7,1350,219,236,154,1032,1
3085,27,8,212,4,2731,217,222,141,2952,2
3370,22,5,0,0,2727,217,229,149,2268,7
2918,75,13,134,28,3401,235,216,110,2353,2
3015,170,11,240,46,4916,228,245,148,774,2
2987,47,10,362,8,2349,224,217,127,2496,2
2981,127,15,67,16,258,243,229,111,960,1
3107,144,11,573,59,1906,236,238,132,899,1
3004,174,7,700,95,5670,225,244,153,3046,2
3013,313,11,67,2,2412,190,232,181,979,1
3119,292,3,674,92,1773,212,238,165,782,2
3274,356,10,162,18,6115,204,222,156,342,1
3244,307,14,525,113,1841,180,231,190,2184,1
2765,70,12,242,-4,1714,233,217,114,1426,2
3364,219,12,218,29,3060,206,251,180,1826,1
3215,194,16,402,83,552,216,251,165,4872,2
3138,266,10,242,12,1657,194,245,189,648,1
3229,229,5,277,16,6030,213,244,169,1065,1
2761,342,8,42,4,870,203,228,164,2143,2
3365,88,8,272,43,1992,233,227,126,3343,7
2661,85,16,467,42,865,242,210,94,2760,2
2291,267,22,85,21,1034,158,243,220,295,3
3001,102,14,108,16,4210,243,221,104,3960,2
3147,227,8,532,59,134,209,248,175,2372,2
2937,226,14,700,137,2520,200,252,187,1611,2
3187,73,13,150,39,5610,235,215,110,2161,2
2967,352,10,180,18,1754,203,223,158,95,2
